state,district,year,quarter,transaction_count,transaction_amount,log_transaction_amount
Andhra Pradesh,prakasam district,2022,2,36163507,90435082545.97766,25.227898110332358
Andhra Pradesh,anantapur district,2022,2,46099366,102138758015.76915,25.349598098475465
Andhra Pradesh,ysr district,2022,2,33154559,87601310069.59737,25.196061789920737
Andhra Pradesh,west godavari district,2022,2,44409239,107973244960.42824,25.405149301541403
Andhra Pradesh,kurnool district,2022,2,40165692,92409350855.50198,25.249494010219394
Andhra Pradesh,chittoor district,2022,2,67507661,136435445124.75616,25.639117410223367
Andhra Pradesh,guntur district,2022,2,66315749,147098141568.7623,25.71436583068584
Andhra Pradesh,krishna district,2022,2,73525814,163997729295.93134,25.823118418924338
Andhra Pradesh,east godavari district,2022,3,61467134,129677722169.74829,25.588318149219166
Andhra Pradesh,srikakulam district,2022,3,22126541,46899962921.785614,24.571282721839392
Andhra Pradesh,spsr nellore district,2022,3,42116582,95099325968.25972,25.278187718872847
Andhra Pradesh,vizianagaram district,2022,3,20440645,42513313394.84207,24.473083120195003
Andhra Pradesh,visakhapatnam district,2022,3,97434546,181124419863.61444,25.922450034626237
Andhra Pradesh,prakasam district,2022,3,35376080,87475230073.46387,25.194621505370627
Andhra Pradesh,anantapur district,2022,3,45165363,97735649608.10074,25.30553221796665
Andhra Pradesh,ysr district,2022,3,33119038,86016932181.12372,25.177809999659093
Andhra Pradesh,west godavari district,2022,3,43635951,101706854744.31876,25.34536053935509
